analysis_id,drug_name,delta_nll_plugin_vs_elasticnet,delta_coverage_error_plugin_vs_elasticnet,delta_nll_plugin_vs_pca_gaussian,delta_coverage_error_plugin_vs_pca_gaussian,delta_nll_plugin_vs_pca_mdn,delta_coverage_error_plugin_vs_pca_mdn
GDSC1::1236::UNC0638,UNC0638,-0.022545404790837997,0.006666666666666626,-0.02729226254410455,0.03111111111111111,0.10823029585037913,0.022222222222222192
GDSC1::1239::YK-4-279,YK-4-279,-0.0836495139029021,-0.005454545454545497,-0.059281809912366645,0.028051948051948078,0.006897973085583375,0.01870129870129872
GDSC1::1241::CHIR-99021,CHIR-99021,0.015341878374499185,-0.019887005649717536,-0.02458463660546184,0.002937853107344665,0.014964841071158475,-0.007683615819208997
GDSC1::1242::(5Z)-7-Oxozeaenol,(5Z)-7-Oxozeaenol,0.00204128382941704,-0.02214689265536724,-0.03535676437662971,0.0070056497175141445,-0.035231153514105884,-0.021920903954802215
GDSC1::1243::Piperlongumine,Piperlongumine,-0.0867982985656286,-0.0017877094972066597,-0.11723581933703597,0.003128491620111761,0.05961182699373069,-0.0033519553072625177
GDSC1::1248::Daporinad,Daporinad,-0.08020026900784494,-0.03630057803468205,-0.04640998073111202,0.03976878612716764,0.10613955090833649,0.004161849710982643
GDSC1::1251::N22899-6-C1,N22899-6-C1,0.033436133510769794,2.0816681711721685e-17,0.028691114517723992,0.02000000000000004,0.027128923650367787,0.02555555555555558
GDSC1::1252::N23918-95-7,N23918-95-7,0.024504149742076597,-0.017777777777777847,0.020297552857325485,0.003333333333333341,0.006061787564145105,-0.012222222222222242
GDSC1::1253::N24798-49-A1,N24798-49-A1,-0.07054429507283366,-0.04491620111731843,-0.043806868426507606,0.000223463687150878,-0.03799697743896824,-0.004692737430167564
GDSC1::1254::GSK-J4,GSK-J4,-0.02375200664277055,-0.028156424581005604,-0.024127506417582323,0.014748603351955342,-0.008187227015467924,-0.016983240223463716
GDSC1::1259::Talazoparib,Talazoparib,0.06495550776319736,-0.02395480225988702,-0.0032101848025092306,0.028926553672316443,0.030930489761419322,0.004971751412429358
GDSC1::1261::rTRAIL,rTRAIL,-0.11973503374487904,0.01251396648044692,-0.1416626466922446,0.0218994413407821,0.0290523338297608,0.03128491620111726
GDSC1::1262::UNC1215,UNC1215,0.019664944117216643,-0.011525423728813586,-0.0019831358701722923,0.012203389830508438,0.0081071124846529,0.011525423728813516
GDSC1::1263::UNC0642,UNC0642,-0.06521179437076718,0.0032183908045976817,-0.05318911508282631,0.012183908045977083,-0.01065741018213262,-0.010574712643678156
GDSC1::1264::SGC0946,SGC0946,-0.02107846919873857,-0.002937853107344658,-0.023779719844332248,-0.006779661016949143,-0.013830089005946067,-0.011977401129943503
GDSC1::1266::ICL1100013,ICL1100013,0.01775700056731444,-0.08384180790960455,0.008668249441377895,-0.00338983050847462,0.024284750969387536,-0.005875706214689282
GDSC1::1268::XAV939,XAV939,-0.015616354584071512,-0.004494382022471918,-9.465439440536905e-05,0.0166292134831461,0.024842096558883142,0.01168539325842698
GDSC1::127::GSK269962A,GSK269962A,-0.08873642276103122,-0.014358974358974319,-0.02171216833363232,-0.006666666666666661,-0.031988658883274956,-0.007692307692307686
GDSC1::133::Doxorubicin,Doxorubicin,-0.02934021136464926,-0.03176470588235295,-0.004839433212202149,0.0023529411764705785,0.005432156072303407,0.0047058823529411604
GDSC1::134::Etoposide,Etoposide,-0.014370848509100753,-0.08162790697674424,0.024718377070098718,0.009302325581395356,0.027990157159961004,0.010930232558139536
